id,name,year,headSize,strungWeight,balance,balancePts,swingweight,stiffness,beamWidth,pattern,tensionRange,powerLevel,strokeStyle,swingSpeed,frameProfile,identity,notes
wilson-blade-104-2015,Wilson Blade 104 (2015),2015,104,306,33.5,2 pts HL,314,58,"21,21,21",16x19,"50,60",Low-Medium,Medium-Full,Medium-Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=15.1 vibration=135Hz power=40% sweetzone=16sqin
wilson-blade-104-2013,Wilson Blade 104 / 2013,2013,104,262,33.2,5 pts HL,303,60,"21,21,21",16x19,"50,60",Low-Medium,Medium-Full,Medium-Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.2 vibration=138Hz power=38% sweetzone=14sqin length=27.5in
wilson-blade-104-v8,Wilson Blade 104 V8,,104,306,33,6 pts HL,317,60,"21,21,21",16x19,"50,60",Low-Medium,Medium-Full,Medium-Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=133Hz power=40% sweetzone=16sqin length=27.5in
wilson-blade-104-v9,Wilson Blade 104 V9,,104,306,33,6 pts HL,311,64,"21,21,21",16x19,"50,60",Low-Medium,Medium-Full,Medium-Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=144Hz power=40% sweetzone=15sqin length=27.5in
wilson-blade-104-v7,Wilson Blade 104 v7,,104,306,33,6 pts HL,321,60,"21,21,21",16x19,"50,60",Low-Medium,Medium-Full,Medium-Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=127Hz power=41% sweetzone=17sqin length=27.5in
wilson-blade-18x20-v8,Wilson Blade 18x20 v8,,98,323,33,4 pts HL,327,60,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard Precision,TWU: twistweight=14.4 vibration=135Hz power=41% sweetzone=17sqin
wilson-blade-93-2013,Wilson Blade 93 / 2013,2013,93,292,32,7 pts HL,323,68,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14 vibration=150Hz power=40% sweetzone=16sqin
wilson-blade-98-16x19,Wilson Blade 98 (16x19),,98,323,33,4 pts HL,328,62,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=13.7 vibration=133Hz power=41% sweetzone=16sqin
wilson-blade-98-16x19-2015,Wilson Blade 98 (16x19) (2015),2015,98,329,34.2,Even,343,69,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.5 vibration=146Hz power=43% sweetzone=18sqin
wilson-blade-98-16x19-2013,Wilson Blade 98 (16x19) / 2013,2013,98,290,34.4,Even,338,69,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.3 vibration=150Hz power=42% sweetzone=18sqin
wilson-blade-98-16x19-cv,Wilson Blade 98 (16x19) CV,,98,318,33.2,3 pts HL,318,65,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14 vibration=144Hz power=40% sweetzone=15sqin
wilson-blade-98-18x20-2015,Wilson Blade 98 (18x20 ) (2015),2015,98,322,33.7,2 pts HL,333,64,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard Precision,TWU: twistweight=14.2 vibration=140Hz power=42% sweetzone=16sqin
wilson-blade-98-18x20,Wilson Blade 98 (18x20),,98,323,33,4 pts HL,334,62,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard Precision,TWU: twistweight=14.3 vibration=132Hz power=42% sweetzone=17sqin
wilson-blade-98-18x20-2013,Wilson Blade 98 (18x20) / 2013,2013,98,281,33.5,2 pts HL,328,64,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard Precision,TWU: twistweight=13.6 vibration=137Hz power=41% sweetzone=15sqin
wilson-blade-98-18x20-cv,Wilson Blade 98 (18x20) CV,,98,324,33.5,2 pts HL,332,65,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard Precision,TWU: twistweight=14.3 vibration=142Hz power=42% sweetzone=17sqin
wilson-blade-98-16x19-v9,Wilson Blade 98 16x19 V9,,98,323,33,4 pts HL,324,62,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.1 vibration=135Hz power=41% sweetzone=16sqin
wilson-blade-98-16x19-v6,Wilson Blade 98 16x19 v6,,98,320,33.3,3 pts HL,327,67,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.2 vibration=148Hz power=42% sweetzone=17sqin
wilson-blade-98-16x19-v7-reverse,Wilson Blade 98 16x19 v7 Reverse,,98,323,33,4 pts HL,328,62,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=13.7 vibration=133Hz power=41% sweetzone=16sqin
wilson-blade-98-16x19-v8,Wilson Blade 98 16x19 v8,,98,320,32.6,5 pts HL,320,61,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=13.3 vibration=135Hz power=41% sweetzone=16sqin
wilson-blade-98-18x20-v9,Wilson Blade 98 18x20 V9,,98,323,33,4 pts HL,330,60,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard Precision,TWU: twistweight=14.7 vibration=136Hz power=42% sweetzone=17sqin
wilson-blade-98s,Wilson Blade 98S,,98,334,32.8,5 pts HL,329,63,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Lightweight,TWU: twistweight=14.1 vibration=137Hz power=42% sweetzone=17sqin
wilson-blade-98s-18x16-cv,Wilson Blade 98S (18x16) CV,,98,310,34,1 pts HL,323,66,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard,TWU: twistweight=14.1 vibration=146Hz power=41% sweetzone=17sqin
wilson-blade-98s-2015,Wilson Blade 98S (2015),2015,98,310,34.2,Even,330,64,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Standard,TWU: twistweight=13.8 vibration=138Hz power=42% sweetzone=17sqin
wilson-blade-pro-98-16x19-v9,Wilson Blade Pro 98 16x19 V9,,98,323,33.5,2 pts HL,337,61,"21,21,21",16x19,"50,60",Low-Medium,Full,Fast,"21/21/21mm beam, 16x19 pattern",Control,TWU: twistweight=14.7 vibration=138Hz power=42% sweetzone=18sqin
wilson-blade-pro-98-18x20-v9,Wilson Blade Pro 98 18x20 V9,,98,323,33.5,2 pts HL,341,60,"21,21,21",18x20,"50,60",Low,Full,Fast,"21/21/21mm beam, 18x20 pattern",Control Precision,TWU: twistweight=14.8 vibration=133Hz power=43% sweetzone=18sqin
wilson-blade-sw-104,Wilson Blade SW 104,,104,319,33.5,6 pts HL,334,67,"21,21,21",16x19,"50,60",Low-Medium,Medium-Full,Medium-Fast,"21/21/21mm beam, 16x19 pattern",Standard,TWU: twistweight=14.7 vibration=144Hz power=42% sweetzone=17sqin length=28in
wilson-clash-100,Wilson Clash 100,,100,312,32,7 pts HL,312,55,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=121Hz power=40% sweetzone=15sqin
wilson-clash-100-pro-silver,Wilson Clash 100 Pro Silver,,100,326,31.5,9 pts HL,322,55,"24,24,24",16x20,"50,60",Medium,Full,Fast,"24/24/24mm beam, 16x20 pattern",Control,TWU: twistweight=14.4 vibration=118Hz power=40% sweetzone=15sqin
wilson-clash-100-pro-v2,Wilson Clash 100 Pro v2,,100,326,31.5,9 pts HL,325,59,"24,24,24",16x20,"50,60",Medium,Full,Fast,"24/24/24mm beam, 16x20 pattern",Control,TWU: twistweight=14.2 vibration=126Hz power=41% sweetzone=17sqin
wilson-clash-100-pro-v3,Wilson Clash 100 Pro v3,,100,323,32,7 pts HL,327,57,"24,24,24",16x20,"50,60",Medium,Full,Fast,"24/24/24mm beam, 16x20 pattern",Control,TWU: twistweight=14.9 vibration=123Hz power=41% sweetzone=17sqin
wilson-clash-100-reverse,Wilson Clash 100 Reverse,,100,312,32,7 pts HL,312,55,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=121Hz power=40% sweetzone=15sqin
wilson-clash-100-silver,Wilson Clash 100 Silver,,100,312,32,7 pts HL,312,55,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=121Hz power=40% sweetzone=15sqin
wilson-clash-100-tour,Wilson Clash 100 Tour,,100,326,31.5,9 pts HL,322,55,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Control,TWU: twistweight=14.4 vibration=118Hz power=40% sweetzone=15sqin
wilson-clash-100-v2,Wilson Clash 100 v2,,100,313,32,7 pts HL,313,57,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14 vibration=125Hz power=40% sweetzone=14sqin
wilson-clash-100-v3,Wilson Clash 100 v3,,100,312,32,7 pts HL,308,54,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=127Hz power=39% sweetzone=15sqin
wilson-clash-100l,Wilson Clash 100L,,100,292,32.5,6 pts HL,300,54,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.4 vibration=120Hz power=38% sweetzone=14sqin
wilson-clash-100l-silver,Wilson Clash 100L Silver,,100,292,32.5,6 pts HL,300,54,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.4 vibration=120Hz power=38% sweetzone=14sqin
wilson-clash-100l-v3,Wilson Clash 100L v3,,100,295,32.5,6 pts HL,301,54,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.8 vibration=133Hz power=38% sweetzone=14sqin
wilson-clash-100s,Wilson Clash 100S,,100,309,32,7 pts HL,317,54,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.5 vibration=117Hz power=40% sweetzone=14sqin
wilson-clash-108,Wilson Clash 108,,108,295,34.5,Even,312,56,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=15.7 vibration=127Hz power=40% sweetzone=16sqin length=27.25in
wilson-clash-108-v3,Wilson Clash 108 v3,,108,295,34.3,1 pts HL,312,58,"24,24,24",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"24/24/24mm beam, 16x19 pattern",Standard,TWU: twistweight=15.4 vibration=133Hz power=40% sweetzone=16sqin length=27.25in
wilson-clash-98,Wilson Clash 98,,98,326,31.5,9 pts HL,326,55,"24,24,24",16x20,"50,60",Medium,Full,Fast,"24/24/24mm beam, 16x20 pattern",Standard,TWU: twistweight=13.9 vibration=120Hz power=41% sweetzone=15sqin
wilson-clash-98-v2,Wilson Clash 98 v2,,98,326,31.8,8 pts HL,327,60,"24,24,24",16x20,"50,60",Medium,Full,Fast,"24/24/24mm beam, 16x20 pattern",Standard,TWU: twistweight=14.2 vibration=126Hz power=41% sweetzone=17sqin
wilson-k-factor-kobra-team-fx,Wilson K Factor Kobra Team FX,,100,318,31.9,8 pts HL,297,59,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=11.7 vibration=134Hz power=37% sweetzone=11sqin
wilson-kthree-fx,Wilson KThree.FX,,115,269,37,8 pts HH,310,44,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=16.2 vibration=99Hz power=39% sweetzone=14sqin length=27.25in
wilson-labs-project-shift-99-300g,Wilson Labs Project Shift 99 300g,,99,320,32.4,6 pts HL,320,68,"23.5,23.5,23.5",16x20,"48,58",Low-Medium,Medium-Full,Medium-Fast,"23.5/23.5/23.5mm beam, 16x20 pattern",Control,TWU: twistweight=14.5 vibration=152Hz power=41% sweetzone=16sqin
wilson-labs-project-shift-99-315g,Wilson Labs Project Shift 99 315g,,99,332,32.4,6 pts HL,329,68,"23.5,23.5,23.5",16x20,"48,58",Low-Medium,Medium-Full,Medium-Fast,"23.5/23.5/23.5mm beam, 16x20 pattern",Control,TWU: twistweight=15.1 vibration=149Hz power=42% sweetzone=17sqin
wilson-pro-staff-100l,Wilson Pro Staff 100L,,100,301,33.3,3 pts HL,295,66,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14 vibration=152Hz power=38% sweetzone=13sqin
wilson-pro-staff-100ls,Wilson Pro Staff 100LS,,100,298,33.4,3 pts HL,292,64,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.6 vibration=152Hz power=38% sweetzone=12sqin
wilson-pro-staff-6-0-85,Wilson Pro Staff 6.0 85,,85,362,31,10 pts HL,323,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=12.3 vibration=141Hz power=41% sweetzone=16sqin
wilson-pro-staff-6-1-100-v13,Wilson Pro Staff 6.1 100 V13,,100,323,32.6,5 pts HL,323,64,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.9 vibration=139Hz power=41% sweetzone=16sqin
wilson-pro-staff-90,Wilson Pro Staff 90,,90,346,32,7 pts HL,315,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.6 vibration=146Hz power=40% sweetzone=15sqin
wilson-pro-staff-95,Wilson Pro Staff 95,,95,332,32.6,5 pts HL,309,62,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.3 vibration=142Hz power=39% sweetzone=15sqin
wilson-pro-staff-95s-2014,Wilson Pro Staff 95S (2014),2014,95,327,32.2,7 pts HL,300,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.6 vibration=147Hz power=38% sweetzone=13sqin
wilson-pro-staff-95s-2015,Wilson Pro Staff 95S (2015),2015,95,321,33.8,2 pts HL,314,62,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=15.2 vibration=145Hz power=40% sweetzone=16sqin
wilson-pro-staff-97,Wilson Pro Staff 97,,97,325,32,7 pts HL,312,66,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.5 vibration=144Hz power=40% sweetzone=15sqin
wilson-pro-staff-97-2016,Wilson Pro Staff 97 (2016),2016,97,330,32.5,6 pts HL,326,68,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.9 vibration=152Hz power=42% sweetzone=17sqin
wilson-pro-staff-97-countervail,Wilson Pro Staff 97 Countervail,,97,332,32,7 pts HL,320,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.8 vibration=147Hz power=41% sweetzone=14sqin
wilson-pro-staff-97-countervail-black,Wilson Pro Staff 97 Countervail Black,,97,327,32.1,7 pts HL,303,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.8 vibration=147Hz power=39% sweetzone=14sqin
wilson-pro-staff-97-ls,Wilson Pro Staff 97 LS,,97,307,33.5,2 pts HL,313,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.9 vibration=149Hz power=40% sweetzone=15sqin
wilson-pro-staff-97-ls-black-2016,Wilson Pro Staff 97 LS Black (2016),2016,97,304,33,4 pts HL,298,68,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.1 vibration=157Hz power=38% sweetzone=13sqin
wilson-pro-staff-97-rf-autograph,Wilson Pro Staff 97 RF Autograph,,97,359,31.8,8 pts HL,338,70,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.9 vibration=150Hz power=43% sweetzone=18sqin
wilson-pro-staff-97-v13,Wilson Pro Staff 97 v13,,97,332,32,7 pts HL,321,66,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.3 vibration=143Hz power=41% sweetzone=16sqin
wilson-pro-staff-97-v14,Wilson Pro Staff 97 v14,,97,332,32,7 pts HL,332,66,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=15 vibration=148Hz power=42% sweetzone=18sqin
wilson-pro-staff-97l,Wilson Pro Staff 97L,,97,306,33.3,3 pts HL,315,70,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.6 vibration=152Hz power=40% sweetzone=16sqin
wilson-pro-staff-97l-countervail-black,Wilson Pro Staff 97L Countervail Black,,97,308,33.4,3 pts HL,310,70,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.3 vibration=162Hz power=40% sweetzone=15sqin
wilson-pro-staff-97l-countervail-camo,Wilson Pro Staff 97L Countervail CAMO,,97,308,33.4,3 pts HL,310,70,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.3 vibration=162Hz power=40% sweetzone=15sqin
wilson-pro-staff-97l-v13,Wilson Pro Staff 97L v13,,97,306,33.3,3 pts HL,311,69,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.2 vibration=158Hz power=40% sweetzone=15sqin
wilson-pro-staff-97s-2016,Wilson Pro Staff 97S (2016),2016,97,324,33,4 pts HL,317,67,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=14.6 vibration=150Hz power=40% sweetzone=16sqin
wilson-pro-staff-rf97-autograph-2016,Wilson Pro Staff RF97 Autograph (2016),2016,97,354,31.3,9 pts HL,322,69,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.9 vibration=151Hz power=41% sweetzone=16sqin
wilson-pro-staff-rf97-autograph-2018,Wilson Pro Staff RF97 Autograph 2018,2018,97,357,31.5,9 pts HL,335,68,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.9 vibration=151Hz power=42% sweetzone=16sqin
wilson-pro-staff-rf97-v13,Wilson Pro Staff RF97 v13,,97,357,31.5,9 pts HL,335,68,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.9 vibration=151Hz power=42% sweetzone=16sqin
wilson-pro-staff-six-one-100-v14,Wilson Pro Staff Six.One 100 v14,,100,323,32.5,6 pts HL,326,65,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=13.7 vibration=141Hz power=41% sweetzone=17sqin
wilson-pro-staff-x-v14,Wilson Pro Staff X v14,,100,332,32,7 pts HL,322,66,"21.5,21.5,21.5",16x19,"50,60",Low,Full,Fast,"21.5/21.5/21.5mm beam, 16x19 pattern",Control,TWU: twistweight=15.4 vibration=146Hz power=41% sweetzone=18sqin
wilson-rf-01,Wilson RF 01,,98,318,32.6,5 pts HL,319,64,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=140Hz power=40% sweetzone=16sqin
wilson-rf-01-future,Wilson RF 01 Future,,98,295,33,4 pts HL,301,64,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=13.2 vibration=145Hz power=39% sweetzone=13sqin
wilson-rf-01-pro,Wilson RF 01 Pro,,98,337,32.4,6 pts HL,331,67,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=16 vibration=151Hz power=42% sweetzone=18sqin
wilson-shift-99,Wilson Shift 99,,99,318,32.4,6 pts HL,317,67,"23.5,23.5,23.5",16x20,"48,58",Low-Medium,Medium-Full,Medium-Fast,"23.5/23.5/23.5mm beam, 16x20 pattern",Standard,TWU: twistweight=13.9 vibration=157Hz power=41% sweetzone=16sqin
wilson-shift-99-pro,Wilson Shift 99 Pro,,99,332,32.4,6 pts HL,332,68,"23.5,23.5,23.5",16x20,"48,58",Low-Medium,Medium-Full,Medium-Fast,"23.5/23.5/23.5mm beam, 16x20 pattern",Control,TWU: twistweight=14.3 vibration=152Hz power=42% sweetzone=17sqin
wilson-ultra-100,Wilson Ultra 100,,100,311,33,4 pts HL,310,70,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=156Hz power=40% sweetzone=15sqin
wilson-ultra-100-countervail,Wilson Ultra 100 Countervail,,100,318,33.1,4 pts HL,322,75,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=15.3 vibration=175Hz power=41% sweetzone=16sqin
wilson-ultra-100-v2,Wilson Ultra 100 v2,,100,318,33,4 pts HL,314,74,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.5 vibration=179Hz power=41% sweetzone=16sqin
wilson-ultra-100-v4,Wilson Ultra 100 v4,,100,318,33,4 pts HL,317,70,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=166Hz power=41% sweetzone=16sqin
wilson-ultra-100l,Wilson Ultra 100L,,100,294,33.5,2 pts HL,303,68,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.7 vibration=153Hz power=39% sweetzone=14sqin
wilson-ultra-100l-camo,Wilson Ultra 100L CAMO,,100,294,33.5,2 pts HL,303,68,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.7 vibration=153Hz power=39% sweetzone=14sqin
wilson-ultra-100l-v2,Wilson Ultra 100L v2,,100,292,33.5,2 pts HL,302,68,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.7 vibration=155Hz power=39% sweetzone=14sqin
wilson-ultra-100l-v3,Wilson Ultra 100L v3,,100,295,33,4 pts HL,296,68,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=163Hz power=38% sweetzone=13sqin
wilson-ultra-100ul,Wilson Ultra 100UL,,100,270,34,1 pts HL,283,68,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13 vibration=164Hz power=37% sweetzone=11sqin
wilson-ultra-103s,Wilson Ultra 103S,,103,301,34.3,Even,326,73,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.9 vibration=171Hz power=42% sweetzone=17sqin
wilson-ultra-108,Wilson Ultra 108,,108,294,35,2 pts HH,324,73,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=15.8 vibration=172Hz power=42% sweetzone=18sqin
wilson-ultra-95-countervail,Wilson Ultra 95 Countervail,,95,326,33.5,3 pts HL,339,69,"24,26.5,24",18x20,"50,60",Medium,Full,Fast,"24/26.5/24mm beam, 18x20 pattern",Standard,TWU: twistweight=14.3 vibration=155Hz power=43% sweetzone=18sqin length=27.24in
wilson-ultra-97,Wilson Ultra 97,,97,319,32.3,6 pts HL,308,63,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Standard,TWU: twistweight=13.1 vibration=145Hz power=39% sweetzone=14sqin
wilson-ultra-pro-16x19-v4,Wilson Ultra Pro 16x19 v4,,97,323,32.4,6 pts HL,317,62,"24,26.5,24",18x20,"50,60",Medium,Full,Fast,"24/26.5/24mm beam, 18x20 pattern",Control,TWU: twistweight=12.9 vibration=144Hz power=40% sweetzone=16sqin
wilson-ultra-pro-18x20-v4,Wilson Ultra Pro 18x20 v4,,97,323,32.4,6 pts HL,319,62,"24,26.5,24",18x20,"50,60",Medium,Full,Fast,"24/26.5/24mm beam, 18x20 pattern",Control Precision,TWU: twistweight=13.5 vibration=143Hz power=41% sweetzone=16sqin
wilson-ultra-tour,Wilson Ultra Tour,,97,320,32.5,6 pts HL,322,64,"24,26.5,24",16x19,"50,60",Medium-High,Medium,Medium,"24/26.5/24mm beam, 16x19 pattern",Control,TWU: twistweight=13.4 vibration=144Hz power=41% sweetzone=16sqin
yonex-ezone-100-2025,Yonex EZONE 100 (2025),2025,100,318,33,4 pts HL,315,68,"23.8,26.5,22",16x19,"45,60",Medium,Medium,Medium-Fast,"23.8/26.5/22mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=159Hz power=40% sweetzone=16sqin
